GEOID,class_a,class_b,class_c
36005000200,1,24,5
36005000400,27,99,16
36005001600,10,47,7
36005001900,16,76,12
36005002000,17,55,14
36005002500,61,204,43
36005002701,13,52,6
36005002702,17,33,7
36005002800,19,38,3
36005003100,14,54,2
36005003300,17,49,11
36005003500,25,71,27
36005003700,NA,3,2
36005003800,10,30,NA
36005003900,65,185,38
36005004001,6,5,1
36005004100,18,70,6
36005004200,12,79,8
36005004300,75,276,27
36005004600,2,15,2
36005004800,26,69,21
36005005001,79,341,56
36005005002,64,237,49
36005005100,8,5,5
36005005200,16,32,6
36005005300,177,576,31
36005005400,131,267,59
36005005600,57,133,31
36005005902,28,83,33
36005006000,13,59,11
36005006100,NA,16,NA
36005006200,36,100,16
36005006300,95,181,49
36005006400,13,24,7
36005006500,72,240,40
36005006700,50,155,27
36005006800,32,120,31
36005006900,29,81,12
36005007000,32,131,26
36005007100,25,45,18
36005007200,60,150,13
36005007300,17,62,3
36005007400,16,22,8
36005007500,46,135,40
36005007600,54,239,54
36005007700,19,52,13
36005007800,117,268,60
36005007900,42,121,15
36005008300,64,141,45
36005008400,4,17,NA
36005008500,33,95,22
36005008600,6,31,NA
36005008700,88,255,159
36005008900,17,90,6
36005009000,1,7,2
36005009200,58,148,24
36005009300,78,239,41
36005009600,11,33,4
36005009800,10,18,3
36005011502,60,202,56
36005011700,10,28,5
36005011800,6,2,2
36005011900,55,163,36
36005012101,22,57,21
36005012102,4,17,1
36005012300,14,90,16
36005012500,42,98,13
36005012701,25,80,15
36005012901,26,106,24
36005013000,NA,2,2
36005013100,41,120,19
36005013200,5,32,3
36005013300,21,75,16
36005013500,19,66,8
36005013800,1,5,2
36005014100,53,188,46
36005014300,13,14,3
36005014400,11,44,10
36005014500,25,62,19
36005014701,50,106,6
36005014702,1,2,14
36005014900,31,170,27
36005015100,57,212,40
36005015200,3,23,2
36005015300,64,221,42
36005015500,46,100,22
36005015700,54,258,89
36005015800,NA,11,1
36005015900,9,19,6
36005016000,1,6,NA
36005016100,76,241,39
36005016200,NA,4,NA
36005016300,2,11,2
36005016400,7,17,1
36005016500,19,45,9
36005016600,NA,3,2
36005016700,18,51,12
36005016900,3,9,4
36005017100,2,2,9
36005017300,50,183,30
36005017500,90,244,139
36005017701,99,300,80
36005017702,103,341,68
36005017901,40,142,20
36005017902,88,224,46
36005018101,26,97,20
36005018102,94,218,39
36005018301,85,161,26
36005018302,25,69,10
36005018400,NA,4,NA
36005018500,87,218,57
36005018900,141,271,60
36005019300,56,97,17
36005019400,2,21,9
36005019500,110,316,44
36005019700,189,374,59
36005019900,83,204,42
36005020000,33,94,18
36005020100,117,220,19
36005020200,12,26,4
36005020400,38,48,21
36005020501,24,60,18
36005020502,2,50,3
36005020601,4,48,5
36005020900,85,224,42
36005021001,14,40,2
36005021002,15,27,5
36005021100,72,212,38
36005021200,1,2,1
36005021301,4,9,2
36005021302,75,207,50
36005021501,20,34,2
36005021502,63,160,14
36005021601,35,155,30
36005021602,5,47,15
36005021700,94,209,49
36005021800,80,318,49
36005021900,9,19,5
36005022000,25,82,9
36005022101,26,80,11
36005022102,114,262,58
36005022200,10,61,4
36005022300,68,195,27
36005022401,18,70,6
36005022403,9,24,9
36005022404,49,207,26
36005022500,95,240,48
36005022701,142,346,47
36005022702,6,24,12
36005022703,16,39,NA
36005022800,27,75,14
36005022901,159,322,107
36005022902,34,90,9
36005023000,41,136,20
36005023100,15,37,5
36005023200,6,53,10
36005023301,96,254,50
36005023302,85,246,29
36005023501,43,133,24
36005023502,52,158,47
36005023600,18,72,13
36005023702,12,41,5
36005023703,72,184,39
36005023704,92,231,38
36005023800,23,66,14
36005023900,96,313,59
36005024000,54,177,47
36005024100,82,258,38
36005024300,49,204,61
36005024400,7,14,3
36005024501,11,48,8
36005024502,92,203,44
36005024600,3,5,NA
36005024700,31,66,10
36005024800,7,32,1
36005025000,4,10,1
36005025100,118,269,71
36005025200,10,27,NA
36005025300,58,183,43
36005025400,11,17,2
36005025500,140,315,67
36005025600,5,19,NA
36005025700,20,20,6
36005026100,7,36,8
36005026300,63,163,31
36005026400,6,35,5
36005026500,97,173,46
36005026601,5,7,NA
36005026602,14,56,9
36005026701,27,76,25
36005026702,76,172,37
36005026900,25,113,23
36005027300,48,134,25
36005027401,NA,NA,2
36005027402,1,7,1
36005027700,57,118,50
36005027900,104,231,41
36005028100,17,43,10
36005028300,26,35,6
36005028500,89,145,19
36005028600,NA,4,1
36005028700,19,39,10
36005028800,NA,2,1
36005028900,55,152,61
36005029301,NA,3,NA
36005029302,NA,18,4
36005029500,14,44,1
36005029600,33,46,10
36005029700,9,13,NA
36005030000,26,45,5
36005030200,7,33,2
36005030701,2,10,1
36005030900,3,8,2
36005031600,1,12,2
36005031800,NA,5,NA
36005032300,9,13,NA
36005032400,10,31,2
36005032600,17,49,8
36005032800,18,50,8
36005033000,52,152,7
36005033201,5,42,3
36005033202,22,84,8
36005033500,1,7,NA
36005033600,79,224,25
36005033700,1,7,5
36005033800,29,98,24
36005034000,47,191,25
36005034200,7,18,2
36005034300,3,9,1
36005034400,NA,6,NA
36005034500,1,7,NA
36005034800,1,18,1
36005035000,9,62,8
36005035100,8,19,NA
36005035600,12,40,7
36005035800,12,101,8
36005035900,17,66,30
36005036000,22,43,3
36005036100,31,108,29
36005036300,124,408,100
36005036400,21,66,4
36005036501,23,52,15
36005036502,14,55,12
36005036700,82,257,37
36005036800,7,20,3
36005036901,11,50,8
36005036902,57,153,15
36005037000,7,27,6
36005037100,69,208,28
36005037200,6,24,2
36005037300,69,232,53
36005037400,49,135,24
36005037504,59,285,49
36005037600,12,49,5
36005037800,12,38,15
36005037900,45,220,30
36005038000,55,166,35
36005038100,144,314,78
36005038200,9,39,15
36005038301,143,339,74
36005038302,43,119,20
36005038500,70,304,61
36005038600,47,170,49
36005038700,68,196,45
36005038800,19,69,13
36005038900,27,157,29
36005039000,44,165,23
36005039100,138,350,66
36005039200,25,58,7
36005039300,78,201,59
36005039400,59,194,31
36005039500,27,145,28
36005039600,72,230,53
36005039700,5,13,5
36005039800,16,52,14
36005039901,83,255,74
36005039902,97,312,86
36005040100,84,280,79
36005040302,55,150,52
36005040303,54,108,42
36005040304,33,85,30
36005040400,14,60,14
36005040501,76,152,67
36005040502,89,224,42
36005040600,23,73,20
36005040701,36,152,27
36005040702,84,306,68
36005040800,56,135,33
36005040900,46,198,5
36005041100,32,113,32
36005041300,44,106,26
36005041400,57,168,25
36005041500,46,151,24
36005041800,72,165,45
36005041900,92,265,49
36005042000,65,133,49
36005042100,49,169,24
36005042200,10,74,23
36005042300,85,203,34
36005042400,4,47,5
36005042500,86,295,74
36005042600,19,76,14
36005042800,NA,13,5
36005042901,83,143,31
36005042902,42,136,23
36005043000,6,27,2
36005043100,235,572,105
36005043400,30,39,21
36005043500,4,24,NA
36005043600,12,44,6
36005044200,38,110,33
36005044400,13,51,11
36005044800,3,5,4
36005044901,NA,3,NA
36005044902,12,13,2
36005045101,5,6,6
36005045102,NA,2,NA
36005045600,12,63,18
36005046000,1,7,4
36005046201,35,72,1
36005046202,13,71,16
36005048400,15,46,15
36005051600,7,18,2
36047000100,4,8,3
36047000200,11,36,20
36047000301,1,3,NA
36047000501,1,18,3
36047000502,1,4,1
36047000700,2,17,1
36047000900,9,7,NA
36047001300,NA,2,NA
36047001500,3,15,NA
36047002000,1,9,4
36047002100,NA,2,NA
36047002200,13,22,4
36047003000,1,23,3
36047003300,3,3,1
36047003400,7,56,6
36047003500,12,30,5
36047003600,23,50,2
36047003900,15,34,3
36047004100,2,2,1
36047004300,5,31,9
36047004400,NA,28,1
36047004500,1,4,1
36047004600,10,15,2
36047004700,2,6,1
36047004900,2,10,1
36047005000,6,17,3
36047005100,NA,14,2
36047005201,NA,3,NA
36047005202,10,26,4
36047005300,4,27,2
36047005400,4,16,5
36047005601,4,5,3
36047005602,1,9,NA
36047005800,13,36,6
36047005900,8,25,10
36047006000,14,58,11
36047006200,13,22,3
36047006300,2,8,1
36047006400,14,17,4
36047006500,15,65,3
36047006600,44,113,28
36047006700,NA,5,1
36047006800,23,62,9
36047006900,32,50,18
36047007000,NA,4,1
36047007100,2,6,3
36047007200,24,54,18
36047007400,21,51,36
36047007500,3,13,1
36047007600,19,110,21
36047007700,3,11,NA
36047007800,16,69,11
36047008000,9,25,2
36047008200,29,98,41
36047008400,3,27,7
36047008800,30,35,27
36047009000,11,16,2
36047009200,36,106,20
36047009400,1,12,2
36047009600,57,122,20
36047009800,9,31,13
36047010000,16,54,13
36047010100,4,10,4
36047010200,45,154,15
36047010400,27,47,22
36047010600,1,5,2
36047010800,5,32,13
36047011000,5,24,5
36047011200,36,110,42
36047011400,10,7,8
36047011600,4,7,2
36047011700,6,23,6
36047011800,2,9,4
36047011900,12,24,1
36047012000,1,10,2
36047012100,7,21,7
36047012200,15,58,21
36047012600,19,38,9
36047012700,5,25,1
36047012801,6,31,10
36047012901,13,67,7
36047012902,2,17,2
36047013000,28,32,10
36047013100,16,57,12
36047013200,8,17,2
36047013300,4,25,3
36047013400,8,28,4
36047013500,66,88,21
36047013600,12,43,15
36047013700,16,51,8
36047013800,1,34,2
36047013900,22,113,13
36047014000,2,14,NA
36047014100,2,15,2
36047014200,11,41,5
36047014300,1,24,19
36047014500,10,55,12
36047014700,6,19,NA
36047014800,1,9,1
36047014900,5,38,3
36047015100,3,20,4
36047015200,2,6,NA
36047015300,NA,6,NA
36047015500,11,15,2
36047015700,3,13,3
36047015900,6,10,4
36047016000,22,37,4
36047016100,5,33,3
36047016200,4,14,NA
36047016300,13,58,2
36047016500,4,7,NA
36047016700,3,19,5
36047016800,4,4,NA
36047016900,14,67,9
36047017000,5,10,NA
36047017100,11,18,6
36047017200,1,9,NA
36047017400,NA,7,3
36047017600,3,6,4
36047017800,7,6,3
36047017900,NA,13,8
36047018000,2,12,2
36047018100,19,37,12
36047018200,4,17,3
36047018300,NA,1,1
36047018501,3,11,5
36047018700,1,11,2
36047018800,NA,5,4
36047019000,7,47,8
36047019100,21,49,23
36047019200,9,23,3
36047019300,11,38,1
36047019400,2,4,1
36047019500,10,21,16
36047019600,17,57,11
36047019700,3,18,3
36047019800,1,NA,NA
36047019900,26,103,34
36047020000,NA,3,NA
36047020100,8,29,5
36047020300,1,32,6
36047020500,23,36,8
36047020600,NA,NA,1
36047020700,42,123,19
36047020800,3,3,NA
36047021000,NA,18,1
36047021100,4,14,1
36047021200,19,39,7
36047021300,57,145,35
36047021400,1,5,2
36047021500,50,169,26
36047021600,14,37,7
36047021700,55,272,42
36047021800,2,17,3
36047021900,45,208,36
36047022000,50,86,11
36047022100,33,130,51
36047022200,13,53,5
36047022400,10,57,9
36047022600,34,71,8
36047022700,66,210,44
36047022800,24,61,19
36047022900,22,44,16
36047023000,19,50,19
36047023100,40,117,24
36047023200,29,108,22
36047023300,27,78,25
36047023400,1,7,8
36047023500,6,31,8
36047023600,8,18,7
36047023800,10,31,14
36047024000,18,26,9
36047024100,16,48,30
36047024200,1,1,NA
36047024300,32,136,40
36047024400,2,11,1
36047024500,44,165,46
36047024600,3,6,2
36047024700,32,135,10
36047024800,9,28,9
36047024900,52,170,47
36047025000,1,5,NA
36047025100,53,133,33
36047025200,23,51,5
36047025300,22,76,15
36047025400,8,10,NA
36047025600,20,33,3
36047025700,20,67,31
36047025800,35,77,13
36047025901,21,68,14
36047026000,NA,3,1
36047026100,60,222,99
36047026300,13,119,27
36047026400,19,23,20
36047026500,57,240,83
36047026600,5,10,1
36047026700,51,139,22
36047026800,4,16,2
36047026900,84,232,42
36047027000,NA,6,NA
36047027100,39,199,49
36047027200,26,63,5
36047027300,23,64,17
36047027400,1,7,NA
36047027500,33,147,25
36047027600,8,28,9
36047027700,48,117,51
36047027800,8,22,1
36047027900,47,280,76
36047028000,6,7,NA
36047028100,33,108,24
36047028200,NA,NA,1
36047028300,33,88,27
36047028400,38,93,28
36047028501,NA,2,NA
36047028600,22,62,6
36047028700,21,74,26
36047028800,5,38,8
36047028900,57,220,74
36047029000,13,71,3
36047029100,48,179,57
36047029200,5,16,1
36047029300,33,147,35
36047029400,11,35,4
36047029500,29,148,25
36047029600,31,74,19
36047029700,27,67,11
36047029800,13,21,6
36047029900,20,104,13
36047030000,33,28,10
36047030100,29,146,32
36047030200,3,9,2
36047030300,43,264,61
36047030400,5,31,7
36047030500,25,104,32
36047030700,39,152,35
36047030800,2,5,1
36047030900,18,57,17
36047031100,76,309,67
36047031300,69,286,48
36047031400,5,28,1
36047031500,142,436,128
36047031701,60,220,70
36047031702,61,296,52
36047031900,41,215,60
36047032100,75,270,109
36047032300,36,157,28
36047032500,70,267,31
36047032600,14,108,36
36047032700,29,125,29
36047032800,22,75,32
36047032900,51,252,35
36047033000,15,48,2
36047033100,30,99,25
36047033300,10,30,6
36047033500,9,26,9
36047033600,15,63,18
36047033700,27,150,40
36047033900,72,131,39
36047034000,NA,4,NA
36047034100,70,216,53
36047034200,NA,4,1
36047034300,20,92,17
36047034500,8,66,11
36047034700,43,147,22
36047034800,20,39,11
36047034900,81,343,43
36047035100,73,309,65
36047035200,1,9,NA
36047035300,108,390,55
36047035400,NA,2,3
36047035500,76,241,80
36047035601,NA,5,1
36047035602,10,16,2
36047035700,32,133,14
36047035900,87,260,62
36047036001,5,53,7
36047036002,6,58,14
36047036100,34,138,14
36047036200,33,110,55
36047036300,100,344,69
36047036400,8,58,3
36047036501,21,132,25
36047036502,29,89,24
36047036600,27,53,16
36047036700,27,190,61
36047036900,84,452,124
36047037000,1,10,1
36047037100,80,325,73
36047037300,57,242,62
36047037401,4,35,9
36047037402,NA,19,2
36047037500,34,193,59
36047037700,61,256,83
36047037900,71,221,87
36047038100,20,103,17
36047038200,1,7,1
36047038300,58,188,47
36047038500,68,246,103
36047038600,11,26,4
36047038700,44,224,70
36047038800,3,15,1
36047038900,33,83,19
36047039000,4,11,NA
36047039100,10,56,16
36047039200,27,64,4
36047039300,29,65,30
36047039400,3,15,6
36047039500,28,68,21
36047039600,2,4,1
36047039700,40,135,43
36047039800,NA,10,1
36047039900,39,152,47
36047040000,2,15,1
36047040100,47,196,55
36047040200,14,22,4
36047040300,52,213,42
36047040500,15,60,20
36047040600,4,33,8
36047040800,5,15,3
36047040900,75,271,66
36047041000,1,4,1
36047041100,18,105,20
36047041200,4,26,2
36047041300,56,387,55
36047041401,4,10,2
36047041402,1,32,2
36047041500,56,188,69
36047041600,16,70,11
36047041700,27,100,14
36047041800,9,37,2
36047041900,15,109,14
36047042000,9,5,3
36047042100,20,126,34
36047042200,8,29,9
36047042300,26,91,18
36047042400,10,23,11
36047042500,27,104,14
36047042600,3,14,6
36047042700,62,197,42
36047042800,11,15,1
36047042900,69,210,56
36047043000,31,75,14
36047043100,97,305,68
36047043200,25,80,11
36047043300,68,251,53
36047043400,7,16,10
36047043500,58,201,37
36047043600,19,45,6
36047043700,102,338,137
36047043800,20,48,7
36047043900,34,105,20
36047044000,9,12,NA
36047044100,33,180,29
36047044200,1,15,5
36047044300,16,84,25
36047044400,13,45,3
36047044500,26,136,18
36047044600,9,31,3
36047044700,12,13,4
36047044800,NA,1,NA
36047044900,1,8,NA
36047045200,5,26,5
36047045300,11,27,2
36047045400,2,6,1
36047045600,12,43,3
36047045800,NA,2,2
36047046000,18,86,16
36047046201,9,53,6
36047046400,6,15,1
36047046800,NA,NA,1
36047047000,NA,1,1
36047047400,NA,2,NA
36047047600,12,34,5
36047047700,12,37,7
36047047800,11,50,8
36047048000,52,107,22
36047048100,20,47,12
36047048200,29,151,26
36047048400,47,111,24
36047048500,6,35,4
36047048600,26,76,23
36047048800,14,27,9
36047049000,37,90,22
36047049100,11,38,12
36047049200,18,71,14
36047049300,19,91,10
36047049400,12,59,14
36047049500,3,9,5
36047049600,12,38,10
36047049700,NA,10,3
36047049800,13,21,11
36047049900,5,16,2
36047050000,4,11,NA
36047050100,5,14,2
36047050202,5,10,NA
36047050300,14,20,2
36047050400,2,16,4
36047050500,24,50,8
36047050600,38,156,40
36047050700,1,12,1
36047050801,70,229,40
36047050803,49,143,20
36047050804,77,298,54
36047050900,NA,NA,5
36047051001,67,179,39
36047051002,46,162,56
36047051100,8,34,5
36047051200,75,249,51
36047051300,38,97,18
36047051400,61,338,43
36047051500,NA,12,1
36047051601,79,259,55
36047051602,48,105,18
36047051700,8,20,1
36047051800,31,73,3
36047051900,16,14,2
36047052000,24,59,8
36047052300,28,85,19
36047052500,2,37,2
36047052600,4,32,14
36047052700,43,165,25
36047052800,4,11,1
36047052900,12,55,12
36047053000,16,54,5
36047053100,14,15,3
36047053200,5,20,NA
36047053300,28,65,6
36047053400,31,46,19
36047053500,7,32,6
36047053800,34,120,16
36047053900,3,NA,1
36047054200,4,23,1
36047054300,NA,1,NA
36047054400,1,5,3
36047054500,5,11,7
36047054600,48,161,6
36047054700,11,29,10
36047054800,3,20,7
36047054900,16,51,2
36047055000,17,82,13
36047055100,21,36,15
36047055200,5,28,4
36047055300,25,73,34
36047055400,30,84,36
36047055500,NA,4,1
36047055600,7,25,3
36047055700,NA,11,3
36047055800,5,71,5
36047056000,5,40,2
36047056100,50,71,3
36047056300,68,164,24
36047056400,4,10,NA
36047056500,10,23,5
36047056600,1,16,1
36047056900,2,NA,NA
36047057000,1,NA,NA
36047057100,4,9,3
36047057300,5,27,6
36047057400,NA,9,2
36047057500,31,80,14
36047057600,NA,13,NA
36047057800,4,45,8
36047057900,11,14,7
36047058000,4,43,5
36047058200,3,25,3
36047058400,NA,15,NA
36047058600,NA,3,4
36047058800,5,28,4
36047058900,1,7,2
36047059000,NA,4,NA
36047059100,6,49,11
36047059200,45,82,46
36047059300,7,5,NA
36047059401,11,114,12
36047059402,4,38,6
36047059600,3,13,NA
36047059800,NA,6,NA
36047060000,10,38,10
36047060600,10,81,9
36047060800,11,38,NA
36047061002,12,33,NA
36047061003,1,38,1
36047061004,34,178,19
36047061200,NA,5,2
36047062000,NA,4,NA
36047062200,31,135,12
36047062600,2,24,NA
36047063200,5,NA,NA
36047063600,NA,NA,2
36047063800,6,51,3
36047064000,NA,2,NA
36047064200,6,30,6
36047064400,3,12,1
36047064600,2,1,1
36047064800,NA,4,NA
36047065000,1,7,3
36047066000,NA,3,1
36047066200,NA,NA,1
36047066600,NA,9,2
36047067000,1,20,6
36047067200,1,9,NA
36047067400,1,7,8
36047067600,2,9,1
36047067800,1,19,2
36047068000,2,9,NA
36047068200,NA,11,1
36047068600,1,1,3
36047068800,NA,3,1
36047069000,1,7,NA
36047069200,NA,8,6
36047069601,11,22,7
36047069602,NA,10,1
36047069800,4,3,1
36047070000,NA,1,1
36047070201,1,9,1
36047070600,1,6,NA
36047072000,6,29,5
36047072200,NA,6,2
36047072400,NA,3,2
36047072800,7,58,11
36047073000,NA,17,8
36047073200,NA,8,3
36047073400,1,1,1
36047073600,38,161,21
36047073800,5,4,2
36047074000,8,79,27
36047074200,22,84,14
36047074400,NA,NA,2
36047074600,3,16,NA
36047074800,7,12,2
36047075000,8,20,3
36047075400,NA,2,NA
36047075600,NA,3,NA
36047075800,11,62,4
36047076000,27,95,16
36047076200,47,79,17
36047076400,37,111,27
36047076600,41,75,9
36047076800,18,71,12
36047077000,9,39,12
36047077200,34,109,22
36047077400,5,33,10
36047077600,6,67,12
36047078000,3,35,4
36047078200,28,140,48
36047078400,4,29,8
36047078600,25,103,34
36047078800,22,102,22
36047079000,63,268,65
36047079200,45,151,33
36047079400,42,121,17
36047079601,54,212,47
36047079602,42,173,41
36047079801,48,138,26
36047079802,15,85,25
36047080000,26,121,21
36047080200,63,146,27
36047080400,10,120,16
36047080600,47,83,26
36047081000,15,53,8
36047081400,13,65,10
36047081600,14,147,28
36047081800,33,164,25
36047082000,70,321,75
36047082200,70,415,47
36047082400,33,202,44
36047082600,35,224,46
36047082800,63,270,41
36047083000,45,197,88
36047083200,NA,6,2
36047083400,NA,9,1
36047083600,10,35,8
36047083800,1,7,6
36047084000,2,8,1
36047084600,5,48,7
36047084800,NA,3,NA
36047085000,NA,5,4
36047085400,12,34,5
36047085600,31,114,32
36047085800,14,82,7
36047086000,28,65,22
36047086200,19,82,12
36047086400,14,43,10
36047086600,27,102,29
36047086800,64,162,37
36047087000,25,117,26
36047087200,12,77,9
36047087401,18,87,11
36047087600,16,34,4
36047087800,11,56,17
36047088000,7,21,3
36047088200,59,290,65
36047088400,58,209,72
36047088600,116,397,70
36047088800,22,127,45
36047089000,63,252,57
36047089200,53,257,46
36047089400,25,92,35
36047089600,60,201,54
36047089800,20,60,14
36047090000,23,120,23
36047090200,3,26,5
36047090600,12,54,7
36047090800,8,82,30
36047091000,1,14,10
36047091600,20,89,39
36047091800,9,37,4
36047092000,58,147,32
36047092200,32,87,14
36047092400,15,87,14
36047092800,15,105,29
36047093000,NA,11,5
36047093200,NA,2,1
36047093400,19,67,10
36047093600,18,79,17
36047093800,25,77,27
36047094401,16,116,27
36047094600,2,23,2
36047095000,7,48,5
