GEOID,class_a,class_b,class_c
36047095400,2,55,3
36047095600,2,29,NA
36047095800,NA,17,8
36047096200,2,29,14
36047096400,5,45,11
36047096600,NA,11,NA
36047096800,NA,25,NA
36047097000,11,84,11
36047097400,8,24,5
36047098400,NA,13,1
36047098600,5,31,9
36047098800,11,68,20
36047099000,1,23,7
36047099200,NA,2,NA
36047099400,4,20,5
36047099600,2,17,3
36047099800,NA,2,4
36047100400,1,17,6
36047100600,2,35,9
36047100800,2,21,4
36047101000,8,55,11
36047101200,1,21,2
36047101400,2,15,9
36047101600,NA,5,1
36047102000,NA,3,6
36047102200,NA,4,1
36047102400,NA,25,1
36047102800,NA,8,1
36047105801,2,11,1
36047105804,8,11,1
36047107800,5,17,7
36047109800,24,72,12
36047110400,34,208,47
36047111000,1,NA,NA
36047111600,9,75,37
36047111800,44,206,95
36047112000,20,166,23
36047112200,52,146,23
36047112400,40,221,69
36047112600,62,264,78
36047112800,42,184,42
36047113000,54,247,85
36047113200,9,70,17
36047113400,6,27,8
36047114201,1,13,5
36047114202,14,112,17
36047114400,23,68,33
36047114600,12,69,19
36047115000,18,122,46
36047115200,23,140,36
36047115600,12,69,13
36047115800,26,125,57
36047116000,20,96,18
36047116200,2,67,10
36047116400,8,126,39
36047116600,13,123,52
36047116800,11,88,14
36047117000,12,96,18
36047117201,4,11,16
36047117202,23,54,19
36047117400,8,64,22
36047117601,25,78,24
36047117602,26,170,35
36047117800,3,27,10
36047118201,14,50,21
36047118202,22,71,16
36047118400,17,112,48
36047118600,11,93,15
36047118800,29,55,15
36047119000,31,56,9
36047119200,32,130,34
36047119400,54,249,51
36047119600,67,286,83
36047119800,41,148,36
36047120000,3,34,8
36047120200,1,8,1
36047120800,55,223,40
36047122000,12,64,22
36047123700,38,91,15
36047150200,5,14,1
36047152200,28,72,9
36061000201,14,22,13
36061000202,6,8,2
36061000600,11,54,6
36061000700,NA,5,NA
36061000800,58,101,49
36061000900,NA,5,NA
36061001200,3,20,NA
36061001300,4,9,1
36061001402,9,24,2
36061001501,1,1,NA
36061001502,4,NA,NA
36061001600,13,67,9
36061001800,31,180,52
36061002100,12,18,5
36061002201,9,28,3
36061002202,4,17,NA
36061002601,31,75,11
36061002602,36,139,10
36061002700,13,7,4
36061002800,14,48,6
36061002900,25,49,13
36061003001,62,130,24
36061003002,56,113,11
36061003200,41,157,27
36061003300,2,12,7
36061003400,55,155,12
36061003601,5,17,7
36061003602,8,42,4
36061003700,14,17,2
36061003800,82,216,26
36061003900,6,18,NA
36061004000,57,132,13
36061004100,17,58,17
36061004200,3,10,3
36061004300,13,54,9
36061004400,6,8,NA
36061004500,5,16,NA
36061004700,26,95,40
36061004800,25,54,10
36061004900,23,46,12
36061005000,11,24,7
36061005200,12,20,1
36061005400,NA,9,NA
36061005502,2,6,2
36061005600,NA,NA,1
36061005800,NA,5,NA
36061005900,4,6,NA
36061006000,4,16,4
36061006300,9,40,5
36061006400,6,17,3
36061006500,23,66,14
36061006600,20,61,5
36061006700,20,75,9
36061006800,10,32,NA
36061006900,NA,3,1
36061007000,20,72,9
36061007100,33,39,17
36061007200,32,81,32
36061007300,57,104,17
36061007400,1,6,2
36061007500,9,19,3
36061007600,NA,2,2
36061007700,12,33,8
36061007800,19,39,5
36061007900,6,39,5
36061008000,20,36,11
36061008100,27,94,12
36061008200,4,9,NA
36061008300,26,56,6
36061008400,NA,1,NA
36061008603,NA,4,NA
36061008700,33,71,6
36061008800,4,12,NA
36061008900,21,68,18
36061009000,11,31,4
36061009100,16,63,9
36061009200,NA,2,NA
36061009300,7,29,2
36061009500,20,18,3
36061009700,6,8,NA
36061009800,15,39,9
36061009900,12,26,5
36061010000,4,23,1
36061010200,NA,2,1
36061010300,3,7,NA
36061010400,5,10,NA
36061010601,18,23,1
36061010602,2,12,1
36061010800,16,32,1
36061011000,15,51,8
36061011100,11,23,9
36061011201,NA,4,1
36061011203,2,13,NA
36061011402,10,28,2
36061011500,16,40,2
36061011600,8,28,8
36061011800,6,19,4
36061011900,6,12,NA
36061012000,1,NA,NA
36061012100,53,167,30
36061012200,6,34,2
36061012400,19,120,11
36061012500,3,NA,NA
36061012600,15,28,3
36061012700,87,204,37
36061012800,4,24,9
36061012900,27,107,19
36061013000,4,25,6
36061013100,NA,NA,1
36061013200,9,45,14
36061013300,39,74,11
36061013400,18,55,10
36061013500,5,10,NA
36061013600,50,90,10
36061013700,12,28,5
36061013800,43,84,20
36061013900,42,146,33
36061014000,13,12,5
36061014200,12,9,2
36061014300,NA,2,NA
36061014401,13,19,4
36061014402,17,37,7
36061014500,5,1,NA
36061014601,24,40,6
36061014602,26,51,15
36061014801,4,13,NA
36061014802,12,28,6
36061014900,1,NA,NA
36061015002,10,13,NA
36061015100,NA,1,NA
36061015200,4,14,2
36061015300,13,16,NA
36061015400,16,77,16
36061015500,1,NA,NA
36061015601,11,31,9
36061015602,NA,3,1
36061015700,26,64,9
36061015801,9,33,2
36061015802,3,1,1
36061015900,9,34,10
36061016002,6,12,NA
36061016100,23,61,21
36061016200,16,44,4
36061016300,14,38,9
36061016400,3,15,2
36061016500,10,39,3
36061016600,30,184,24
36061016700,38,98,5
36061016800,5,11,NA
36061016900,23,56,8
36061017000,71,156,34
36061017100,27,34,1
36061017200,41,119,28
36061017300,40,101,17
36061017401,45,111,10
36061017402,15,14,3
36061017500,20,61,21
36061017700,8,36,6
36061017800,30,83,20
36061017900,34,56,9
36061018000,31,153,22
36061018100,16,22,1
36061018200,54,211,34
36061018300,21,82,9
36061018400,37,93,31
36061018500,10,20,3
36061018600,24,58,3
36061018700,18,42,2
36061018800,62,205,47
36061018900,33,116,20
36061019000,20,52,15
36061019100,23,113,19
36061019200,4,9,2
36061019300,35,107,21
36061019400,47,209,16
36061019500,25,101,11
36061019600,35,96,25
36061019701,1,5,1
36061019702,16,59,7
36061019800,18,102,16
36061019900,12,37,1
36061020000,28,139,61
36061020102,46,157,21
36061020500,NA,1,NA
36061020600,17,66,15
36061020701,3,25,2
36061020800,72,233,40
36061020901,11,18,8
36061021000,2,24,6
36061021100,17,53,16
36061021200,8,42,2
36061021303,71,200,72
36061021400,25,111,7
36061021500,47,121,22
36061021600,75,223,26
36061021800,67,161,39
36061021900,52,130,25
36061022000,57,158,34
36061022102,32,145,39
36061022200,21,61,23
36061022301,152,229,97
36061022302,6,33,10
36061022400,79,246,24
36061022500,213,568,109
36061022600,60,229,18
36061022700,118,296,42
36061022800,142,393,104
36061022900,146,507,124
36061023000,79,223,51
36061023100,83,303,84
36061023200,138,323,47
36061023300,94,324,105
36061023400,70,199,38
36061023501,212,555,115
36061023502,42,140,33
36061023600,54,138,49
36061023700,146,495,82
36061023801,4,14,NA
36061023900,62,138,36
36061024100,105,285,39
36061024200,73,163,46
36061024301,88,223,83
36061024500,215,621,173
36061024700,105,283,81
36061024900,34,90,6
36061025100,59,135,29
36061025300,131,454,141
36061025500,68,162,42
36061025700,54,162,31
36061025900,9,64,32
36061026100,135,482,139
36061026300,108,372,83
36061026500,98,272,40
36061026700,10,28,4
36061026900,161,430,158
36061027100,135,290,131
36061027300,42,133,18
36061027500,11,9,NA
36061027700,109,259,92
36061027900,128,365,108
36061028100,10,46,8
36061028300,92,260,78
36061028500,229,568,172
36061028700,119,168,60
36061029100,135,503,89
36061029300,138,384,115
36061029500,64,195,34
36061029900,14,74,16
36061030300,44,152,35
36061030700,11,53,11
36061030900,77,174,50
36061031703,1,1,NA
36081000100,NA,4,NA
36081000200,NA,23,1
36081000400,1,16,2
36081000600,11,54,16
36081000700,12,66,13
36081000800,NA,9,1
36081001000,18,74,14
36081001200,NA,6,NA
36081001400,2,13,NA
36081001600,11,35,1
36081001800,3,15,4
36081002000,3,6,NA
36081002200,4,7,6
36081002400,10,22,17
36081002600,NA,1,NA
36081002800,8,76,6
36081003000,6,11,1
36081003100,28,40,8
36081003200,2,24,1
36081003300,3,37,8
36081003400,2,45,6
36081003600,2,21,7
36081003800,2,18,8
36081003900,11,63,8
36081004001,2,14,3
36081004002,6,3,5
36081004200,4,17,1
36081004300,NA,5,NA
36081004401,20,68,4
36081004700,2,7,NA
36081005100,4,25,4
36081005200,7,45,17
36081005300,NA,38,2
36081005400,2,11,4
36081005500,NA,7,NA
36081005700,16,60,8
36081005800,NA,3,3
36081005900,4,62,3
36081006100,4,22,15
36081006201,3,9,2
36081006202,9,59,10
36081006300,7,6,5
36081006501,17,46,9
36081006502,13,34,5
36081006900,5,21,5
36081007100,5,33,NA
36081007300,3,43,NA
36081007500,19,54,3
36081007700,1,2,1
36081007900,6,33,3
36081008100,3,11,5
36081008300,1,3,2
36081008500,1,13,7
36081008600,3,34,2
36081008700,13,59,4
36081008800,1,14,NA
36081009100,13,20,5
36081009400,4,23,10
36081009500,11,34,4
36081009700,NA,17,1
36081009800,6,27,6
36081010000,NA,24,1
36081010100,7,43,2
36081010200,3,17,1
36081010300,3,24,1
36081010400,NA,17,3
36081010500,2,11,4
36081010600,2,8,NA
36081010800,8,60,10
36081011000,6,7,2
36081011100,28,40,13
36081011200,NA,8,1
36081011300,6,32,2
36081011400,NA,NA,1
36081011500,3,22,4
36081011600,2,7,1
36081011700,9,56,11
36081011800,NA,12,2
36081011900,6,6,6
36081012000,3,17,1
36081012100,NA,23,3
36081012200,2,43,5
36081012301,NA,13,NA
36081012400,8,11,4
36081012500,5,14,1
36081012601,4,14,NA
36081012602,7,31,5
36081012800,4,11,3
36081013000,2,26,4
36081013200,3,26,5
36081013400,14,54,5
36081013600,1,17,NA
36081013700,1,7,4
36081013800,10,83,7
36081014000,1,30,2
36081014100,3,4,NA
36081014201,17,74,6
36081014202,5,32,13
36081014300,12,79,4
36081014400,12,48,9
36081014500,3,3,1
36081014700,7,13,NA
36081014800,10,51,5
36081014900,2,21,4
36081015000,NA,1,NA
36081015100,5,12,6
36081015200,2,52,2
36081015400,1,18,4
36081015500,1,24,3
36081015600,3,19,4
36081015700,8,28,2
36081015801,2,20,5
36081015802,3,50,4
36081015900,6,29,4
36081016100,1,28,3
36081016400,NA,16,NA
36081016600,2,19,10
36081016800,3,6,3
36081016900,10,42,4
36081017000,2,31,4
36081017200,4,24,9
36081017400,3,33,15
36081017600,NA,NA,1
36081017800,1,6,1
36081017900,NA,2,NA
36081018000,6,38,9
36081018101,27,153,21
36081018102,18,69,10
36081018200,2,19,5
36081018300,15,66,12
36081018401,2,14,3
36081018402,1,30,8
36081018501,10,7,2
36081018502,6,63,9
36081018600,2,15,2
36081018700,NA,13,NA
36081018800,5,21,1
36081018900,6,38,3
36081019000,5,26,18
36081019200,5,38,4
36081019400,NA,14,3
36081019600,5,82,9
36081019800,9,98,40
36081019900,NA,16,NA
36081020200,4,19,2
36081020400,10,96,10
36081020600,2,34,1
36081020800,13,31,11
36081021200,12,64,15
36081021400,6,25,1
36081021600,8,49,7
36081022001,1,7,NA
36081022002,6,47,5
36081023200,1,24,2
36081023500,12,34,10
36081023600,15,68,13
36081023800,27,123,26
36081024000,12,30,7
36081024300,8,51,3
36081024500,9,20,NA
36081024700,2,5,2
36081024900,11,49,5
36081025100,13,32,12
36081025301,18,49,8
36081025302,17,44,5
36081025400,13,180,28
36081025500,NA,3,1
36081025700,2,25,4
36081025800,11,71,7
36081025900,4,22,6
36081026000,8,41,10
36081026100,5,81,10
36081026200,1,24,9
36081026300,25,60,17
36081026400,1,8,4
36081026500,19,115,16
36081026600,NA,2,NA
36081026700,4,22,3
36081026901,20,70,7
36081026902,26,118,10
36081027000,20,116,5
36081027100,35,99,12
36081027200,8,15,2
36081027300,43,96,14
36081027400,5,32,2
36081027500,6,37,5
36081027600,1,12,2
36081027700,17,50,21
36081027800,NA,4,2
36081027900,7,27,2
36081028000,5,60,9
36081028100,15,66,22
36081028200,2,20,6
36081028300,20,121,17
36081028400,2,52,12
36081028500,6,17,2
36081028700,8,57,5
36081028800,7,73,12
36081028900,NA,22,1
36081029100,11,76,23
36081029300,5,8,2
36081029400,8,47,17
36081029500,NA,8,NA
36081029700,1,15,4
36081030600,NA,10,3
36081030902,10,37,6
36081030903,10,37,8
36081030904,1,6,1
36081031700,NA,10,1
36081032000,6,51,11
36081032700,1,32,7
36081032800,NA,14,3
36081032900,4,22,11
36081033000,17,128,21
36081033401,5,38,8
36081033402,2,24,8
36081033700,1,5,4
36081033900,1,4,NA
36081034700,4,30,9
36081035100,10,26,11
36081035200,1,12,3
36081035300,45,90,7
36081035700,10,40,13
36081035800,8,57,3
36081036100,16,64,11
36081036300,10,19,4
36081036500,11,30,9
36081036600,2,15,5
36081036700,3,23,13
36081036800,NA,7,3
36081037100,NA,2,2
36081037300,4,26,7
36081037500,10,30,3
36081037600,5,41,5
36081037700,16,34,16
36081037900,13,34,14
36081038100,3,30,11
36081038400,2,11,2
36081039400,1,11,7
36081039800,7,28,17
36081039900,22,80,4
36081040000,1,4,1
36081040100,13,48,11
36081040200,NA,3,NA
36081040300,1,8,2
36081040400,35,289,8
36081040500,NA,1,1
36081040700,19,48,9
36081040900,4,30,2
36081041100,2,28,1
36081041300,8,15,4
36081041400,14,88,16
36081041500,14,37,2
36081042400,NA,9,NA
36081042600,NA,1,1
36081042700,2,25,6
36081043200,5,26,7
36081043400,NA,2,3
36081043701,10,23,2
36081043702,3,23,6
36081043900,1,45,3
36081044000,5,85,17
36081044301,1,8,2
36081044302,13,9,4
36081044400,3,54,10
36081044601,1,22,8
36081044602,7,41,4
36081044800,1,5,2
36081045000,NA,4,NA
36081045200,NA,21,NA
36081045400,3,39,5
36081045500,62,194,11
36081045700,4,8,6
36081045800,8,29,2
36081045900,1,6,3
36081046000,49,137,12
36081046100,1,NA,1
36081046200,13,94,25
36081046300,5,29,1
36081046500,7,21,9
36081046600,6,4,5
36081046700,27,198,15
36081046800,2,12,4
36081046900,15,104,13
36081047000,5,54,9
36081047100,1,14,NA
36081047200,4,37,6
36081047300,1,10,2
36081047500,7,1,NA
36081047800,NA,21,5
36081047900,3,21,5
36081048100,11,21,8
36081048200,2,31,2
36081048300,NA,4,NA
36081048400,NA,6,3
36081048500,1,8,NA
36081049200,1,32,2
36081049301,NA,3,2
36081049302,6,12,7
36081049600,NA,18,3
36081049900,NA,3,NA
36081050000,26,130,11
36081050201,2,21,NA
36081050400,NA,9,1
36081050600,NA,7,4
36081050800,3,35,6
36081051000,1,7,NA
36081051100,3,24,NA
36081051200,3,12,NA
36081051500,2,16,4
36081051700,1,11,2
36081051800,7,5,NA
36081052000,1,15,2
36081052100,NA,3,3
36081052200,2,23,NA
36081052400,5,30,NA
36081052500,1,6,NA
36081052600,4,21,1
36081052800,13,66,11
36081053000,3,42,8
36081053100,5,14,4
36081053200,5,39,4
36081053401,NA,3,NA
36081053500,1,10,1
36081053601,NA,3,NA
36081053800,4,34,3
36081053900,23,77,17
36081054000,9,95,12
36081054200,1,31,6
36081054500,31,71,20
36081054700,22,53,14
36081054800,NA,3,2
36081054900,31,134,12
36081055100,37,128,38
36081055200,15,72,NA
36081055300,14,72,21
36081055500,2,10,5
36081055700,10,67,15
36081055900,8,28,24
36081056000,2,20,2
36081056400,3,3,3
36081056500,1,11,NA
36081056600,1,2,2
36081056700,12,58,10
36081056800,9,73,5
36081057700,12,42,14
36081057900,11,26,1
36081058000,NA,3,NA
36081058100,1,16,4
36081058200,5,69,22
36081058300,4,31,7
36081058500,5,16,2
36081058700,5,31,1
36081058900,19,72,7
36081059100,24,73,26
36081059300,14,28,6
36081059400,NA,NA,1
36081059500,13,29,12
36081059600,NA,3,NA
36081059800,6,32,7
36081060000,NA,NA,1
36081060100,NA,10,1
36081060600,NA,4,2
36081061301,10,33,7
36081061900,15,36,2
36081062100,NA,3,NA
36081062300,NA,2,4
36081062500,NA,4,3
36081062600,2,15,2
36081062700,1,NA,NA
36081062900,17,49,13
36081063000,NA,11,2
36081063200,NA,NA,1
36081063301,3,9,NA
36081063500,3,11,NA
36081063700,NA,4,1
36081063800,5,16,4
36081063900,2,1,1
36081064101,2,4,NA
36081064500,3,18,2
36081064600,6,20,4
36081065000,1,7,2
36081065400,3,15,1
36081065600,5,29,6
36081065703,1,3,NA
36081066000,NA,1,2
36081066400,3,42,5
36081067700,1,7,NA
36081067900,1,18,1
36081068000,7,28,11
36081068200,NA,3,1
36081068300,4,16,1
36081068700,1,15,1
36081069000,3,17,10
36081069300,5,53,1
36081069400,1,13,5
36081069500,1,17,NA
36081069701,9,43,3
36081069702,7,16,6
36081070300,2,3,NA
36081070700,4,9,NA
36081070900,3,27,1
36081071100,2,7,1
36081071303,14,55,NA
36081071304,12,36,3
36081071305,1,15,NA
36081071306,13,78,7
36081071701,10,28,2
36081071702,NA,8,1
36081071900,2,8,NA
36081072100,1,24,NA
36081072300,NA,1,NA
36081072900,1,NA,NA
36081073700,NA,3,NA
36081073900,11,82,3
36081074100,1,7,1
36081074300,1,20,4
36081074500,5,17,1
36081074700,8,52,2
36081075701,4,17,2
36081075702,NA,3,NA
36081076901,21,56,10
36081076902,NA,5,NA
36081077300,NA,1,NA
36081077500,7,21,3
36081077902,2,6,1
36081077903,9,29,4
36081077904,7,37,2
36081077905,5,40,6
36081077906,1,46,3
36081077907,20,41,9
36081077908,37,127,13
36081078800,6,44,2
36081079000,11,72,16
36081079200,NA,23,8
36081079701,3,17,NA
36081079702,7,12,5
36081079900,5,10,NA
36081080301,NA,2,2
36081080900,4,25,1
36081081400,4,13,3
36081081800,8,66,6
36081083700,NA,7,1
36081083800,4,40,7
36081084000,2,19,1
36081084500,NA,31,1
36081084602,NA,11,1
36081084900,19,35,17
36081085300,NA,31,2
36081085500,2,18,2
36081085700,16,55,2
36081085900,18,62,7
36081086100,5,15,2
36081086300,8,55,3
36081086400,NA,35,14
36081086500,4,23,1
36081087100,11,16,6
36081088400,2,15,7
36081088901,12,62,10
36081090700,NA,1,1
36081091900,NA,11,5
36081092200,NA,3,NA
36081092500,17,27,7
36081092900,2,19,4
36081093401,5,13,1
36081093402,13,42,11
36081093800,9,68,2
36081093900,1,2,NA
36081094201,6,21,1
36081094202,7,59,11
36081094203,5,15,7
36081094500,NA,3,NA
36081094700,3,11,NA
36081095400,15,153,29
36081096400,19,81,14
36081097202,16,54,7
36081097203,10,84,9
36081097204,4,44,11
36081097300,1,3,1
36081099100,NA,1,NA
36081099200,24,106,13
36081099701,NA,2,NA
36081099703,1,13,1
36081099704,2,30,4
36081099801,34,127,22
36081099802,46,240,24
36081100801,13,34,7
36081100802,24,110,18
36081101001,52,204,27
36081101002,1,20,NA
36081103201,57,251,38
36081103202,39,82,6
36081103300,NA,1,NA
36081103900,2,18,3
36081104700,2,6,NA
36081107201,3,24,NA
36081109700,1,6,NA
36081109900,2,16,2
36081113300,1,72,5
36081113900,1,18,2
36081115500,3,4,1
36081115700,1,20,1
36081115900,3,37,1
36081116100,NA,NA,1
36081116300,6,28,3
36081116700,4,33,1
36081117100,1,39,2
36081117500,1,5,NA
36081118100,NA,2,NA
36081118500,6,13,6
36081118700,3,7,1
36081118900,3,14,1
36081119100,NA,6,1
36081119300,1,20,NA
36081119900,NA,NA,5
36081120100,NA,1,5
36081120300,NA,NA,1
36081120700,NA,NA,1
36081121500,NA,1,NA
36081122701,11,31,10
36081125700,4,22,NA
36081126700,NA,NA,1
36081129103,2,28,1
36081129104,NA,5,NA
36081130100,3,12,1
36081134100,NA,2,NA
36081134700,NA,1,NA
36081136700,2,2,NA
36081137700,3,5,2
36081138501,NA,2,NA
36081144700,8,12,7
36081145101,NA,NA,1
36081145102,NA,1,1
36081145900,NA,11,2
36081146300,NA,8,NA
36081146700,3,15,NA
36081147900,2,13,NA
36081148300,NA,11,NA
36081150701,1,5,1
36081150702,2,17,NA
36081155102,NA,7,NA
36081157901,NA,9,NA
36081157903,NA,1,NA
36081161700,3,33,6
36081162100,7,11,1
36085000300,NA,10,3
36085000600,10,33,8
36085000700,11,101,10
36085000800,27,79,2
36085000900,27,125,11
36085001100,35,225,49
36085001700,2,18,3
36085002001,2,10,NA
36085002002,4,4,NA
36085002100,34,185,38
36085002700,14,80,10
36085002900,24,203,38
36085003300,10,128,4
36085003600,1,3,NA
36085004000,26,184,30
36085004700,1,3,NA
36085005000,6,51,12
36085005900,2,15,NA
36085006400,NA,2,1
36085006700,2,34,1
36085007000,5,23,7
36085007400,24,25,20
36085007500,7,110,13
36085007700,17,176,17
36085008100,20,101,17
36085009602,3,22,2
36085009700,5,33,24
36085010500,15,137,24
36085011201,1,14,3
36085011202,5,49,1
36085011401,NA,2,1
36085011402,NA,2,NA
36085012100,1,4,NA
36085012200,2,8,1
36085012500,19,107,7
36085012804,NA,1,1
36085012805,NA,5,NA
36085012806,4,45,2
36085013201,NA,NA,1
36085013204,1,7,NA
36085013302,15,132,12
36085013400,3,14,1
36085013800,7,30,1
36085014100,8,22,1
36085014604,NA,4,1
36085014606,NA,17,NA
36085014607,3,8,1
36085014700,4,27,1
36085015100,6,12,2
36085015601,NA,8,NA
36085017005,2,12,1
36085017007,NA,2,NA
36085017008,NA,11,2
36085017010,2,5,NA
36085017011,NA,2,NA
36085017012,1,NA,NA
36085017300,2,3,1
36085017700,5,12,4
36085018100,2,15,1
36085018702,3,20,NA
36085018901,3,15,2
36085018902,2,8,NA
36085019700,NA,1,NA
36085019800,4,36,NA
36085020100,4,11,14
36085020700,32,219,50
36085020801,NA,1,NA
36085021300,17,85,4
36085022300,4,64,11
36085022600,1,1,2
36085023100,3,47,9
36085023900,3,18,9
36085024401,NA,8,NA
36085024402,6,18,NA
36085024700,25,93,9
36085024800,5,9,NA
36085025100,4,4,NA
36085027301,1,7,NA
36085027302,2,9,1
36085027702,NA,34,3
36085027704,4,4,NA
36085027705,2,19,2
36085027706,5,13,NA
36085027900,3,5,NA
36085029102,2,3,3
36085029103,NA,17,1
36085029104,NA,12,3
36085030301,1,11,2
36085030302,6,65,8
36085031901,13,27,2
36085031902,9,91,7
36085032300,10,44,3
